angulo,aceleracion
196,279.34336066763433
197,314.0191883694447
198,350.46847266807436
199,388.6349732860285
200,428.45970463567045
201,469.88101148729777
202,512.8346480875671
203,557.2538606306589
204,603.0694729804056
205,650.2099755376245
206,698.6016171429706
207,748.1684999019072
208,798.8326768147252
209,850.5142520910977
210,903.1314840253517
211,956.6008903053813
212,1010.8373556252104
213,1065.7542414682598
214,1121.263497925724
215,1177.2757774119348
216,1233.7005501361689
217,1290.4462211882283
218,1347.4202490930688
219,1404.5292656879135
220,1461.679197173607
221,1518.7753861905646
222,1575.722714768233
223,1632.425727996015
224,1688.7887582625708
225,1744.716049909719
226,1800.1118841466205
227,1854.8807040695112
228,1908.9272396321282
229,1962.1566324119572
230,2014.4745600176636
231,2065.7873599834106
232,2116.0021529964115
233,2165.0269653048094
234,2212.7708501538987
235,2259.144008099916
236,2304.0579060518976
237,2347.4253948936503
238,2389.160825539535
239,2429.180163279696
240,2467.401100272338
241,2503.7431660429456
242,2538.1278358526865
243,2570.4786368008495
244,2600.7212515288375
245,2628.7836193961784
246,2654.596035002052
247,2678.0912439290064
248,2699.2045355889663
249,2717.8738330550336
250,2734.0397797663354
251,2747.6458229968844
252,2758.638293983363
253,2766.966484610799
254,2772.58272055925
255,2775.442430818917
256,2775.5042134855194
257,2772.7298977522673
258,2767.084602019373
259,2758.536788046786
260,2747.0583110806188
261,2732.62446588862
262,2715.214028645041
263,2694.80929461027
264,2671.3961115557254
265,2644.963908889677
266,2615.5057224448888
267,2583.018214894256
268,2547.5016917659245
269,2508.9601130347532
270,2467.4011002723396
271,2422.8359393432474
272,2375.2795786405186
273,2324.7506228589646
274,2271.271322310142
275,2214.8675577884283
276,2155.5688210029575
277,2093.408190595613
278,2028.422303770684
279,1960.6513235670598
280,1890.1389018092793
281,1816.9321377788958
282,1741.0815326529325
283,1662.6409397613174
284,1581.6675107203412
285,1498.221637504123
286,1412.3668905212046
287,1324.1699527680394
288,1233.7005501361707
289,1141.03137795444
290,1046.2380238522228
291,949.3988870342063
292,850.5950940615791
293,749.910411238835
294,647.4311537094346
295,543.2460913678077
296,437.44635169880416
297,330.125319659757
298,221.37853472372566
299,111.30358520609533
300,-6.848413781269488e-13
301,-112.43086215073312
302,-225.8859257094996
303,-340.2605136010323
304,-455.4484645245058
305,-571.3422521858
306,-687.8331063067046
307,-804.8111352667624
308,-922.1654502312327
309,-1039.7842906169665
310,-1157.5551507463226
311,-1275.3649075375993
312,-1393.0999490793556
313,-1510.6463039347614
314,-1627.889771021212
315,-1744.716049909718
316,-1861.0108713879715
317,-1976.6601281307644
318,-2091.5500053210035
319,-2205.567111064921
320,-2318.598606444946
321,-2430.5323350543536
322,-2541.2569518582463
323,-2650.662051226273
324,-2758.6382939833616
325,-2865.07753332605
326,-2969.8729394531097
327,-3072.9191227608744
328,-3174.112255455239
329,-3273.350191434343
330,-3370.532584297687
331,-3465.5610033401354
332,-3558.3390473911345
333,-3648.7724563625134
334,-3736.7692203706156
335,-3822.2396863016097
336,-3905.096661691896
337,-3985.255515798495
338,-4062.634277738111
339,-4137.153731576531
340,-4208.737508254227
341,-4277.312174237347
342,-4342.807316787605
343,-4405.155625748285
344,-4464.292971748088
345,-4520.158480728636
346,-4572.694604705872
347,-4621.847188680311
348,-4667.5655336154905
349,-4709.802455408843
350,-4748.514339783998
351,-4783.661193038442
352,-4815.206688585377
353,-4843.118209233815
354,-4867.3668851559505
355,-4887.927627496096
356,-4904.779157580737
357,-4917.904031694499
358,-4927.288661392221
359,-4932.923329322642
360,-4934.802200544678
